              table_name               | table_type 
---------------------------------------+------------
 accounting_customers                  | BASE TABLE
 accounting_employees                  | BASE TABLE
 announcements                         | BASE TABLE
 ar_internal_metadata                  | BASE TABLE
 asics                                 | BASE TABLE
 asics_view                            | VIEW
 attachable_journals                   | BASE TABLE
 attachment_journals                   | BASE TABLE
 attachments                           | BASE TABLE
 attribute_help_texts                  | BASE TABLE
 auth_providers                        | BASE TABLE
 bcf_comments                          | BASE TABLE
 bcf_issues                            | BASE TABLE
 bcf_viewpoints                        | BASE TABLE
 bot_logs                              | BASE TABLE
 brain_bot_document_chunks             | BASE TABLE
 brain_bot_documents                   | BASE TABLE
 brain_bot_media_files                 | BASE TABLE
 budget_journals                       | BASE TABLE
 budgets                               | BASE TABLE
 categories                            | BASE TABLE
 changes                               | BASE TABLE
 changeset_journals                    | BASE TABLE
 changesets                            | BASE TABLE
 changesets_work_packages              | BASE TABLE
 chart_of_accounts                     | BASE TABLE
 colors                                | BASE TABLE
 comments                              | BASE TABLE
 companies                             | BASE TABLE
 cost_entries                          | BASE TABLE
 cost_queries                          | BASE TABLE
 cost_types                            | BASE TABLE
 custom_actions                        | BASE TABLE
 custom_actions_projects               | BASE TABLE
 custom_actions_roles                  | BASE TABLE
 custom_actions_statuses               | BASE TABLE
 custom_actions_types                  | BASE TABLE
 custom_field_sections                 | BASE TABLE
 custom_fields                         | BASE TABLE
 custom_fields_projects                | BASE TABLE
 custom_fields_types                   | BASE TABLE
 custom_options                        | BASE TABLE
 custom_styles                         | BASE TABLE
 custom_values                         | BASE TABLE
 customizable_journals                 | BASE TABLE
 deploy_status_checks                  | BASE TABLE
 deploy_targets                        | BASE TABLE
 design_colors                         | BASE TABLE
 document_journals                     | BASE TABLE
 documents                             | BASE TABLE
 done_statuses_for_project             | BASE TABLE
 enabled_modules                       | BASE TABLE
 enterprise_tokens                     | BASE TABLE
 enumerations                          | BASE TABLE
 equipment                             | BASE TABLE
 equipment_view                        | VIEW
 exports                               | BASE TABLE
 favorites                             | BASE TABLE
 field_report_edits                    | BASE TABLE
 field_report_edits_view               | VIEW
 field_reports                         | BASE TABLE
 field_reports_asics                   | BASE TABLE
 field_reports_asics_view              | VIEW
 field_reports_equipment               | BASE TABLE
 field_reports_equipment_view          | VIEW
 field_reports_view                    | VIEW
 field_reports_with_details            | VIEW
 file_links                            | BASE TABLE
 financial_statement_snapshots         | BASE TABLE
 flrts_users                           | BASE TABLE
 flrts_users_view                      | VIEW
 forums                                | BASE TABLE
 general_ledger                        | BASE TABLE
 github_check_runs                     | BASE TABLE
 github_pull_requests                  | BASE TABLE
 github_pull_requests_work_packages    | BASE TABLE
 github_users                          | BASE TABLE
 gitlab_issues                         | BASE TABLE
 gitlab_issues_work_packages           | BASE TABLE
 gitlab_merge_requests                 | BASE TABLE
 gitlab_merge_requests_work_packages   | BASE TABLE
 gitlab_pipelines                      | BASE TABLE
 gitlab_users                          | BASE TABLE
 good_job_batches                      | BASE TABLE
 good_job_executions                   | BASE TABLE
 good_job_processes                    | BASE TABLE
 good_job_settings                     | BASE TABLE
 good_jobs                             | BASE TABLE
 grid_widgets                          | BASE TABLE
 grids                                 | BASE TABLE
 group_users                           | BASE TABLE
 ical_token_query_assignments          | BASE TABLE
 ifc_models                            | BASE TABLE
 job_statuses                          | BASE TABLE
 journal_entries                       | BASE TABLE
 journal_entry_lines                   | BASE TABLE
 journals                              | BASE TABLE
 labor_budget_items                    | BASE TABLE
 last_project_folders                  | BASE TABLE
 ldap_auth_sources                     | BASE TABLE
